Frame 241, Green Left Cheek: 116.29953917050692, Green Right Cheek: 109.97228521038045
Frame 242, Green Left Cheek: 116.27547363031233, Green Right Cheek: 109.87150415721844
Frame 243, Green Left Cheek: 116.2173579109063, Green Right Cheek: 109.75132275132275
Frame 244, Green Left Cheek: 116.27572964669739, Green Right Cheek: 109.62736205593349
Frame 245, Green Left Cheek: 116.41628264208909, Green Right Cheek: 109.5928445452255
Frame 246, Green Left Cheek: 116.34587813620071, Green Right Cheek: 109.51826656588561
Frame 247, Green Left Cheek: 116.26984126984127, Green Right Cheek: 109.50340136054422
Frame 248, Green Left Cheek: 116.28929851510496, Green Right Cheek: 109.41899722852104
Frame 249, Green Left Cheek: 116.32078853046595, Green Right Cheek: 109.35626102292768
Frame 250, Green Left Cheek: 116.36635944700461, Green Right Cheek: 109.39909297052154
Frame 251, Green Left Cheek: 116.36379928315412, Green Right Cheek: 109.34996220710507
Frame 252, Green Left Cheek: 116.4252432155658, Green Right Cheek: 109.44595616024188
Frame 253, Green Left Cheek: 116.4805427547363, Green Right Cheek: 109.54446963970773
Frame 254, Green Left Cheek: 116.60215053763442, Green Right Cheek: 109.6379440665155
Frame 255, Green Left Cheek: 116.66308243727599, Green Right Cheek: 109.61123708742757
Frame 256, Green Left Cheek: 116.76139272913467, Green Right Cheek: 109.64273116654068
Frame 257, Green Left Cheek: 116.91065028161802, Green Right Cheek: 109.53917863441673
Frame 258, Green Left Cheek: 116.9815668202765, Green Right Cheek: 109.50214159737969
Frame 259, Green Left Cheek: 116.91602662570405, Green Right Cheek: 109.36835474930713
Frame 260, Green Left Cheek: 116.80952380952381, Green Right Cheek: 109.37969261778785
Frame 261, Green Left Cheek: 116.96518177163338, Green Right Cheek: 109.23532375913328
Frame 262, Green Left Cheek: 116.95698924731182, Green Right Cheek: 109.26354245401865
Frame 263, Green Left Cheek: 116.86763952892986, Green Right Cheek: 109.20660115898211
Frame 264, Green Left Cheek: 116.82770097286226, Green Right Cheek: 109.14386495338876
Frame 265, Green Left Cheek: 116.86661546338966, Green Right Cheek: 109.28873771730915
Frame 266, Green Left Cheek: 116.85816692268305, Green Right Cheek: 109.27160493827161
